Group	Col	MutCount	TotalSites	Mu
3-7	3	0	27	0.000000
3-7	4	2	16	0.005000
3-7	5	0	19	0.000000
3-7	6	0	21	0.000000
3-7	7	0	13	0.000000
3-7	8	0	27	0.000000
3-7	9	1	27	0.001481
3-7	10	1	28	0.001429
3-7	11	0	27	0.000000
3-7	12	0	26	0.000000
3-7	13	0	27	0.000000
3-7	14	0	27	0.000000
3-7	15	1	27	0.001481
3-7	16	0	26	0.000000
3-7	17	0	24	0.000000
3-7	18	0	26	0.000000
3-7	19	1	26	0.001538
3-7	20	0	26	0.000000
3-7	21	2	26	0.003077
3-7	22	0	25	0.000000
3-7	23	0	25	0.000000
3-7	24	0	27	0.000000
3-7	25	2	26	0.003077
3-7	26	0	20	0.000000
3-7	27	3	27	0.004444
3-7	28	0	27	0.000000
3-7	29	0	27	0.000000
3-7	30	0	27	0.000000
3-7	31	0	27	0.000000
3-7	32	2	26	0.003077
3-7	33	2	24	0.003333
3-7	34	1	27	0.001481
3-7	35	0	27	0.000000
3-7	36	0	25	0.000000
3-7	37	0	25	0.000000
3-7	38	0	24	0.000000
3-7	39	0	23	0.000000
3-7	40	1	25	0.001600
3-7	41	0	20	0.000000
3-7	42	0	23	0.000000
3-7	43	0	25	0.000000
3-7	44	0	25	0.000000
3-7	45	0	24	0.000000
3-7	46	1	14	0.002857
3-7	47	0	20	0.000000
3-7	48	1	21	0.001905
3-7	49	0	13	0.000000
3-7	50	0	26	0.000000
3-7	51	0	26	0.000000
3-7	52	0	27	0.000000
3-7	53	0	25	0.000000
3-7	54	0	28	0.000000
3-7	55	0	27	0.000000
3-7	56	0	26	0.000000
3-7	57	1	27	0.001481
3-7	58	0	24	0.000000
3-7	59	0	26	0.000000
3-7	60	0	25	0.000000
3-7	61	0	27	0.000000
3-7	62	0	27	0.000000
3-7	63	0	25	0.000000
3-7	64	0	26	0.000000
3-7	65	0	27	0.000000
3-7	66	0	26	0.000000
3-7	67	0	27	0.000000
3-7	68	1	25	0.001600
3-7	69	0	23	0.000000
3-7	70	1	27	0.001481
3-7	71	0	26	0.000000
3-7	72	0	25	0.000000
3-7	73	0	26	0.000000
3-7	74	0	21	0.000000
3-7	75	0	25	0.000000
3-7	76	0	23	0.000000
3-7	77	0	25	0.000000
3-7	78	1	25	0.001600
3-7	79	1	27	0.001481
3-7	80	1	23	0.001739
3-7	81	0	26	0.000000
3-7	82	0	27	0.000000
3-7	83	1	26	0.001538
3-7	84	1	26	0.001538
3-7	85	0	28	0.000000
3-7	86	1	26	0.001538
3-7	87	1	26	0.001538
3-7	88	1	26	0.001538
3-7	89	0	28	0.000000
3-7	90	0	26	0.000000
3-7	91	0	27	0.000000
3-7	92	0	27	0.000000
3-7	93	0	26	0.000000
3-7	94	0	26	0.000000
3-7	95	0	26	0.000000
3-7	96	0	27	0.000000
3-7	97	0	27	0.000000
3-7	98	0	26	0.000000
3-7	99	0	26	0.000000
3-7	100	0	27	0.000000
3-7	101	1	27	0.001481
3-7	102	1	25	0.001600
3-7	103	0	26	0.000000
3-7	104	1	26	0.001538
3-7	105	0	26	0.000000
3-7	106	0	25	0.000000
3-7	107	1	26	0.001538
3-7	108	1	24	0.001667
3-7	109	0	26	0.000000
8-12	3	5	196	0.001020
8-12	4	1	53	0.000755
8-12	5	4	88	0.001818
8-12	6	4	97	0.001649
8-12	7	1	107	0.000374
8-12	8	5	236	0.000847
8-12	9	8	215	0.001488
8-12	10	8	236	0.001356
8-12	11	11	250	0.001760
8-12	12	5	171	0.001170
8-12	13	6	244	0.000984
8-12	14	12	238	0.002017
