MA-Line	Sample	MeanDepth
CL1A18	SRR16296035	18.015072463768117
CN1A18	SRR16296036	22.859880466748887
CN1A18	SRR16296037	17.48678924850583
CN1A18	SRR16296038	15.252097189265065
CN1A18	SRR16296039	16.824764849890478
CN1A18	SRR16296040	18.471571906354516
CN1A18	SRR16296042	12.675062455083673
CN1A18	SRR16296043	23.91523438736429
CN1A18	SRR16296044	30.178875798972303
CN1A18	SRR16296045	20.24238072442955
CN1A18	SRR16296046	22.59798803005221
CN1A18	SRR16296047	17.653959039916515
CN1A18	SRR16296048	16.78177820079425
CN1A18	SRR16296049	19.768066469148525
CN1A18	SRR16296050	29.881714035307375
CN1A18	SRR16296051	17.1576596984014
CN1A18	SRR16296053	22.15993675889328
CN1A18	SRR16296054	22.807764280503662
CN1A18	SRR16296055	32.5744930037601
CN1A18	SRR16296056	25.22164573380999
CN1A18	SRR16296057	19.90056176147737
CN1A18	SRR16296058	16.41719235169145
CN1A18	SRR16296059	21.79214110292476
CN1A18	SRR16296060	20.92804487179487
CN1A18	SRR16296125	14.547213880547213
CN1A18	SRR16296126	27.300926069315825
CN1A18	SRR16296128	27.158403151181695
CN1A18	SRR16296129	16.096727368698865
CN1A18	SRR16296130	24.569403482066406
CN1A18	SRR16296131	28.08279813625488
CN1A18	SRR16296132	22.177272147051315
CN1A18	SRR16296133	4.715293127039259
CN1A18	SRR16296134	21.483169705469845
CN1A18	SRR16296135	17.268584335348436
CN1A18	SRR16296136	18.117939551511213
CN1A18	SRR16296137	23.907273527377885
CN1A18	SRR16296139	27.883265920421408
CN1A18	SRR16296140	26.361424463614245
CN1A18	SRR16296141	20.780001282791353
CN1A18	SRR16296142	22.42114916358347
CN1A18	SRR16296143	17.199346298414774
CN1A18	SRR16296144	16.399223541693853
CN1A18	SRR16296145	37.66439009383172
CN1A18	SRR16296146	21.72123391370174
CN1A18	SRR16296147	18.606376140892145
CN1A18	SRR16296148	17.781819971132396
CN1A18	SRR16296150	22.748607242339833
CN1A18	SRR16296151	37.332590391282814
CN1A18	SRR16296152	20.930528313824738
CN1A18	SRR16296153	19.891677804218144
CN1A18	SRR16296154	25.80198267504769
CN1A18	SRR16296155	39.38285470137639
CN1A18	SRR16296156	20.38691236586612
CN1A18	SRR16296189	20.847410231966954
CN1A18	SRR16296190	15.404414183277416
CN1A18	SRR16296191	20.797956074647708
CN1A18_Founder	SRR16296034	17.23173181414035
CN2A16	SRR16296029	25.260798774063787
CN2A16	SRR16296031	26.17034841095279
CN2A16	SRR16296032	23.012858524009022
CN2A16	SRR16296033	16.434075456605786
CN2A16	SRR16296322	27.081614435553288
CN2A16	SRR16296323	16.708569722305167
CN2A16	SRR16296324	24.54672741943139
CN2A16	SRR16296325	16.698552293329726
CN2A16	SRR16296326	16.165464783167046
CN2A16	SRR16296327	20.505929492357904
CN2A16	SRR16296328	14.537281436323441
CN2A16	SRR16296329	16.881037212984957
CN2A16	SRR16296332	17.4050392047505
CN2A16	SRR16296333	13.088274586373446
CN2A16	SRR16296334	12.398589796764828
CN2A16	SRR16296335	20.058738974191442
CN2A16	SRR16296336	14.70657507360157
CN2A16	SRR16296337	18.937431394072448
CN2A16	SRR16296338	19.732335079206965
CN2A16	SRR16296339	19.74852728150652
CN2A16	SRR16296340	18.414799509265837
CN2A16	SRR16296341	22.485507015813422
CN2A16	SRR16296375	20.276220411828852
CN2A16	SRR16296376	23.649611236518687
CN2A16	SRR16296377	19.294978810838575
CN2A16	SRR16296378	20.962943901183735
CN2A16	SRR16296379	22.826136870973915
CN2A16	SRR16296380	22.748890746575782
CN2A16	SRR16296381	14.994623835442615
CN2A16	SRR16296382	16.65082590456214
CN2A16	SRR16296383	16.805701768725275
CN2A16	SRR16296384	23.955171431285024
CN2A16	SRR16296386	16.078010471204188
CN2A16	SRR16296387	4.771918496197446
CN2A16	SRR16296388	21.55202404553303
CN2A16	SRR16296389	25.75782111464667
CN2A16	SRR16296390	15.81338553937021
CN2A16	SRR16296391	14.829919678714859
CN2A16	SRR16296392	16.83860478864913
CN2A16	SRR16296393	22.294923500416107
CN2A16	SRR16296394	16.96817245101567
CN2A16	SRR16296395	20.193825763698076
CN2A16	SRR16296397	23.9200089697591
CN2A16	SRR16296398	23.09975133894415
CN2A16	SRR16296399	23.233345116817173
CN2A16	SRR16296400	24.181557298641668
CN2A16	SRR16296401	8.683702076072132
CN2A16	SRR16296402	20.90562526072586
CN2A16	SRR16296403	22.479600386722527
CN2A16	SRR16296404	19.44955798231929
CN2A16	SRR16296405	23.923978651756784
CN2A16_Founder	SRR16296321	25.49380231295125
Col-0	1	29.831206420207867
Col-0	100	7.018344883815736
Col-0	101	8.779397659696912
Col-0	102	10.067644362969753
Col-0	103	10.602208944414267
Col-0	105	35.47873090481786
Col-0	106	22.322911577918905
Col-0	108	34.19214437367304
Col-0	109	39.68033169820136
Col-0	11	15.07457819367645
Col-0	110	24.512474388333132
Col-0	111	30.140176991150444
Col-0	112	30.557895975523653
Col-0	113	23.26606401172734
Col-0	114	19.932849818682005
Col-0	115	20.23570898292502
Col-0	116	19.553506001263425
Col-0	117	21.7898238265369
Col-0	118	15.4577685088634
Col-0	119	17.87741607324517
Col-0	13	15.202884207549838
Col-0	14	51.869881939211254
Col-0	15	21.72784121805329
Col-0	16	10.62075531577277
Col-0	17	19.48836565096953
Col-0	18	15.626882166045034
Col-0	19	20.391173245614034
Col-0	2	33.34123711340206
Col-0	20	24.83514043109079
Col-0	22	15.842288196958725
Col-0	23	17.999301578432743
Col-0	24	19.293406438914662
Col-0	25	25.070156789795377
Col-0	26	17.96444823663254
Col-0	27	17.18195847362514
Col-0	28	10.169334186939821
Col-0	29	11.505921364282331
Col-0	3	28.02549537648613
Col-0	31	9.879428014299643
Col-0	32	13.047042598835427
Col-0	33	12.777268560953253
