gene.chr,gene.start,gene.stop,gene.id,gene.strand,probe.chr,probe.start,probe.stop,probe.id,probe.strand
chr1,3631,5899,AT1G01010,+,chr1,3631,5899,AT1G01010,+
chr1,6788,9130,AT1G01020,-,chr1,6788,9130,AT1G01020,-
chr1,11101,11372,AT1G03987,+,chr1,11101,11372,AT1G03987,+
chr1,11649,13714,AT1G01030,-,chr1,11649,13714,AT1G01030,-
chr1,23121,31227,AT1G01040,+,chr1,23121,31227,AT1G01040,+
chr1,23312,24099,AT1G03993,-,chr1,23312,24099,AT1G03993,-
chr1,28500,28706,AT1G01046,+,chr1,28500,28706,AT1G01046,+
chr1,31170,33171,AT1G01050,-,chr1,31170,33171,AT1G01050,-
chr1,32727,33009,AT1G03997,+,chr1,32727,33009,AT1G03997,+
chr1,33365,37871,AT1G01060,-,chr1,33365,37871,AT1G01060,-
chr1,38444,41017,AT1G01070,-,chr1,38444,41017,AT1G01070,-
chr1,43087,43295,AT1G04003,-,chr1,43087,43295,AT1G04003,-
chr1,44970,47059,AT1G01080,-,chr1,44970,47059,AT1G01080,-
chr1,47234,49304,AT1G01090,-,chr1,47234,49304,AT1G01090,-
chr1,49909,51210,AT1G01100,-,chr1,49909,51210,AT1G01100,-
chr1,51953,54737,AT1G01110,+,chr1,51953,54737,AT1G01110,+
chr1,57164,59215,AT1G01120,-,chr1,57164,59215,AT1G01120,-
chr1,61905,63811,AT1G01130,-,chr1,61905,63811,AT1G01130,-
chr1,64166,67774,AT1G01140,-,chr1,64166,67774,AT1G01140,-
chr1,69911,72138,AT1G01150,-,chr1,69911,72138,AT1G01150,-
chr1,72339,74096,AT1G01160,+,chr1,72339,74096,AT1G01160,+
chr1,72646,73108,AT1G04007,-,chr1,72646,73108,AT1G04007,-
chr1,73931,74737,AT1G01170,-,chr1,73931,74737,AT1G01170,-
chr1,74435,74683,AT1G04013,+,chr1,74435,74683,AT1G04013,+
chr1,75390,76845,AT1G01180,+,chr1,75390,76845,AT1G01180,+
chr1,77537,80345,AT1G08765,+,chr1,77537,80345,AT1G08765,+
chr1,78927,79037,AT1G01183,-,chr1,78927,79037,AT1G01183,-
chr1,82984,84946,AT1G01190,-,chr1,82984,84946,AT1G01190,-
chr1,86486,88409,AT1G01200,-,chr1,86486,88409,AT1G01200,-
chr1,88622,90502,AT1G01210,+,chr1,88622,90502,AT1G01210,+
chr1,90169,90401,AT1G04017,-,chr1,90169,90401,AT1G04017,-
chr1,91342,95681,AT1G01220,+,chr1,91342,95681,AT1G01220,+
chr1,91356,91685,AT1G04023,-,chr1,91356,91685,AT1G04023,-
chr1,95935,97407,AT1G01225,+,chr1,95935,97407,AT1G01225,+
chr1,97412,99240,AT1G01230,+,chr1,97412,99240,AT1G01230,+
chr1,99865,101987,AT1G01240,+,chr1,99865,101987,AT1G01240,+
chr1,104440,105330,AT1G01250,-,chr1,104440,105330,AT1G01250,-
chr1,108946,111699,AT1G01260,+,chr1,108946,111699,AT1G01260,+
chr1,111890,111961,AT1G01270,-,chr1,111890,111961,AT1G01270,-
chr1,112263,113947,AT1G01280,+,chr1,112263,113947,AT1G01280,+
chr1,114202,116407,AT1G01290,+,chr1,114202,116407,AT1G01290,+
chr1,116784,118845,AT1G01300,+,chr1,116784,118845,AT1G01300,+
chr1,119381,119997,AT1G01305,+,chr1,119381,119997,AT1G01305,+
chr1,120154,121130,AT1G01310,+,chr1,120154,121130,AT1G01310,+
chr1,121067,130577,AT1G01320,-,chr1,121067,130577,AT1G01320,-
chr1,130736,130858,AT1G01335,+,chr1,130736,130858,AT1G01335,+
chr1,132270,135924,AT1G01340,-,chr1,132270,135924,AT1G01340,-
chr1,136090,138162,AT1G01350,+,chr1,136090,138162,AT1G01350,+
chr1,138489,139680,AT1G01355,+,chr1,138489,139680,AT1G01355,+
